Nombre;Tipo;SJR;Q;H_index;Total_docs;Total_docs_3_years;Total_refs;Total_cites_3_years;Citable_docs_3_years;Cites_doc_2_years;Ref_doc;Country;Subject;Publisher;ISSN;Coverage;Scope;url;graph
Ca-A Cancer Journal for Clinicians;journal;106.094;Q1;211;49;124;4844;35427;89;381.89;98.86;United States;Medicine;Wiley-Blackwell;00079235, 15424863;1950-2023;CA provides cancer care professionals with up-to-date information on all aspects of cancer diagnosis, treatment, and prevention. The journal focuses on keeping physicians and healthcare professionals informed by providing scientific and educational information in the form of comprehensive review articles and online continuing education activities on important cancer topics and issues that are important to cancer care, along with publishing the latest cancer guidelines and statistical articles from the American Cancer Society.;https://www.scimagojr.com/journalsearch.php?q=28773&tip=sid&clean=0;"<a href="https://www.scimagojr.com/journalsearch.php?q=28773&amp;tip=sid&amp;exact=no" title="SCImago Journal &amp; Country Rank"><img border="0" src="https://www.scimagojr.com/journal_img.php?id=28773" alt="SCImago Journal &amp; Country Rank"  /></a>"
Foundations and Trends in Machine Learning;journal;37.044;Q1;39;3;13;897;955;13;100.11;299.00;United States;Computer Science;Now Publishers Inc;19358237, 19358245;2008-2023;The growth in all aspects of research in the last decade has led to a multitude of new publications and an exponential increase in published research. Finding a way through the excellent existing literature and keeping up to date has become a major time-consuming problem. Electronic publishing has given researchers instant access to more articles than ever before. But which articles are the essential ones that should be read to understand and keep abreast with developments of any topic? To address this problem Foundations and Trends® in Machine Learning publishes high-quality survey and tutorial monographs of the field.;https://www.scimagojr.com/journalsearch.php?q=19300156903&tip=sid&clean=0;"<a href="https://www.scimagojr.com/journalsearch.php?q=19300156903&amp;tip=sid&amp;exact=no" title="SCImago Journal &amp; Country Rank"><img border="0" src="https://www.scimagojr.com/journal_img.php?id=19300156903" alt="SCImago Journal &amp; Country Rank"  /></a>"
Nature Reviews Molecular Cell Biology;journal;35.910;Q1;508;123;336;11462;13599;153;34.50;93.19;United Kingdom;Biochemistry, Genetics and Molecular Biology;Nature Publishing Group;14710072, 14710080;2000-2023;Nature Reviews Molecular Cell Biology aims to be the premier source of reviews and commentaries for the scientific communities we serve. We strive to publish articles that are authoritative, accessible and enhanced with clearly understandable figures, tables and other display items. We want to provide an unparalleled service to authors, referees and readers, and we work hard to maximize the usefulness and impact of each article. The journal publishes Reviews, Perspectives, Comments and Research Highlights relevant to molecular and cell biologists, with our broad scope ensuring that the articles we publish reach the widest possible audience.;https://www.scimagojr.com/journalsearch.php?q=20315&tip=sid&clean=0;"<a href="https://www.scimagojr.com/journalsearch.php?q=20315&amp;tip=sid&amp;exact=no" title="SCImago Journal &amp; Country Rank"><img border="0" src="https://www.scimagojr.com/journal_img.php?id=20315" alt="SCImago Journal &amp; Country Rank"  /></a>"
Quarterly Journal of Economics;journal;30.448;Q1;306;47;136;3645;2240;136;11.14;77.55;United Kingdom;Economics, Econometrics and Finance;Oxford University Press;00335533, 15314650;1886-2023;The Quarterly Journal of Economics is the oldest professional journal of economics in the English language. Edited at Harvard University's Department of Economics, it covers all aspects of the field. QJE is invaluable to professional and academic economists and students around the world.;https://www.scimagojr.com/journalsearch.php?q=29431&tip=sid&clean=0;"<a href="https://www.scimagojr.com/journalsearch.php?q=29431&amp;tip=sid&amp;exact=no" title="SCImago Journal &amp; Country Rank"><img border="0" src="https://www.scimagojr.com/journal_img.php?id=29431" alt="SCImago Journal &amp; Country Rank"  /></a>"
Nature Reviews Cancer;journal;26.837;Q1;505;105;304;10805;10951;163;31.23;102.90;United Kingdom;Biochemistry, Genetics and Molecular Biology;Nature Publishing Group;1474175X, 14741768;2001-2023;Nature Reviews Cancer aims to be the premier source of reviews and commentaries for the scientific communities we serve. We strive to publish articles that are authoritative, accessible and enhanced with clearly understandable figures, tables and other display items. We want to provide an unparalleled service to authors, referees and readers, and we work hard to maximize the usefulness and impact of each article. The journal publishes Research Highlights, Comments, Reviews and Perspectives relevant to cancer researchers, with our broad scope ensuring that the articles we publish reach the widest possible audience.;https://www.scimagojr.com/journalsearch.php?q=12464&tip=sid&clean=0;"<a href="https://www.scimagojr.com/journalsearch.php?q=12464&amp;tip=sid&amp;exact=no" title="SCImago Journal &amp; Country Rank"><img border="0" src="https://www.scimagojr.com/journal_img.php?id=12464" alt="SCImago Journal &amp; Country Rank"  /></a>"
Cell;journal;24.342;Q1;892;439;1496;32820;53447;1207;31.30;74.76;United States;Biochemistry, Genetics and Molecular Biology;Elsevier B.V.;00928674, 10974172;1974-2023;Cell publishes findings of unusual significance in any area of experimental biology, including but not limited to cell biology, molecular biology, neuroscience, immunology, virology and microbiology, cancer, human genetics, systems biology, signaling, and disease mechanisms and therapeutics. The basic criterion for considering papers is whether the results provide significant conceptual advances into, or raise provocative questions and hypotheses regarding, an interesting and important biological question. In addition to primary research articles in four formats, Cell features review and opinion articles on recent research advances and issues of interest to its broad readership in the Leading Edge section.;https://www.scimagojr.com/journalsearch.php?q=18434&tip=sid&clean=0;"<a href="https://www.scimagojr.com/journalsearch.php?q=18434&amp;tip=sid&amp;exact=no" title="SCImago Journal &amp; Country Rank"><img border="0" src="https://www.scimagojr.com/journal_img.php?id=18434" alt="SCImago Journal &amp; Country Rank"  /></a>"
Nature Reviews Drug Discovery;journal;22.399;Q1;391;239;731;8584;13091;153;19.72;35.92;United Kingdom;Medicine;Nature Publishing Group;14741776, 14741784;2002-2023;Nature Reviews Drug Discovery is a monthly journal aimed at everyone working in the drug discovery and development arena. In addition to the highest-quality reviews and perspectives covering a broad scope, each issue includes news stories that investigate the hottest topics in drug discovery, timely summaries of key primary research papers, and concise updates on the latest advances in areas such as new drug approvals, patent law and emerging industry trends and strategies.;https://www.scimagojr.com/journalsearch.php?q=20425&tip=sid&clean=0;"<a href="https://www.scimagojr.com/journalsearch.php?q=20425&amp;tip=sid&amp;exact=no" title="SCImago Journal &amp; Country Rank"><img border="0" src="https://www.scimagojr.com/journal_img.php?id=20425" alt="SCImago Journal &amp; Country Rank"  /></a>"
American Economic Review;journal;22.344;Q1;359;95;353;6242;4811;351;10.33;65.71;United States;Economics, Econometrics and Finance;American Economic Association;00028282, 19447981;1973-1975, 1978-2023;The American Economic Review is a general-interest economics journal. Established in 1911, the AER is among the nation's oldest and most respected scholarly journals in the economics profession and is celebrating over 100 years of publishing. The journal publishes 12 issues containing articles on a broad range of topics.;https://www.scimagojr.com/journalsearch.php?q=22697&tip=sid&clean=0;"<a href="https://www.scimagojr.com/journalsearch.php?q=22697&amp;tip=sid&amp;exact=no" title="SCImago Journal &amp; Country Rank"><img border="0" src="https://www.scimagojr.com/journal_img.php?id=22697" alt="SCImago Journal &amp; Country Rank"  /></a>"
Nature Reviews Materials;journal;21.836;Q1;184;117;335;8842;13775;196;31.17;75.57;United Kingdom;Energy;Nature Publishing Group;20588437;2016-2023;Nature Reviews Materials aims to cover the making, measuring, modelling and manufacturing of materials - thus, looking at materials science throughout the pipeline of laboratory discovery to functional device. Reviews and Perspectives are commissioned by the editorial team. Research areas covered in the journal include: Soft matter Biomaterials, bio-inspired and biomedical materials Optical, photonic and optoelectronic materials Magnetic materials Materials for electronics Superconductors Engineered and structural materials (metals, alloys, ceramics, composites) Two-dimensional materials Surfaces and thin films Devices Catalytic and separation materials Energy materials Materials for sustainable development Nanotechnology Modelling, simulation and materials theory Synthesis, processing and characterization techniques Manufacturing of materials.;https://www.scimagojr.com/journalsearch.php?q=21100812243&tip=sid&clean=0;"<a href="https://www.scimagojr.com/journalsearch.php?q=21100812243&amp;tip=sid&amp;exact=no" title="SCImago Journal &amp; Country Rank"><img border="0" src="https://www.scimagojr.com/journal_img.php?id=21100812243" alt="SCImago Journal &amp; Country Rank"  /></a>"
Nature Reviews Clinical Oncology;journal;21.048;Q1;217;127;400;9888;10807;183;28.36;77.86;United Kingdom;Medicine;Nature Publishing Group;17594774, 17594782;2009-2023;Nature Reviews' clinical content is written by internationally renowned clinical academics and researchers and targeted towards readers in the medical sciences, from postgraduate level upwards. While intended to be read by practicing doctors, researchers and academics within a specialty, we aim to make all our articles accessible to readers working in any medical discipline. In-depth Reviews present authoritative, up-to-date information on a topic, placing it in the context of a field's history and development. Topical discussion and opinions are proffered in Perspectives and News & Views articles, and in the Research Highlights section we filter primary research from a range of specialty and general medical journals.;https://www.scimagojr.com/journalsearch.php?q=17700156734&tip=sid&clean=0;"<a href="https://www.scimagojr.com/journalsearch.php?q=17700156734&amp;tip=sid&amp;exact=no" title="SCImago Journal &amp; Country Rank"><img border="0" src="https://www.scimagojr.com/journal_img.php?id=17700156734" alt="SCImago Journal &amp; Country Rank"  /></a>"
New England Journal of Medicine;journal;20.544;Q1;1184;1388;4522;14603;107246;1824;21.69;10.52;United States;Medicine;Massachussetts Medical Society;00284793, 15334406;1945-2023;The New England Journal of Medicine (NEJM) is the world’s leading medical journal and website. Published continuously for over 200 years, NEJM delivers high-quality, peer-reviewed research and interactive clinical content to physicians, educators, and the global medical community. Our mission is to bring physicians the best research and information at the intersection of biomedical science and clinical practice and to present this information in understandable and clinically useful formats that inform health care delivery and improve patient outcomes.;https://www.scimagojr.com/journalsearch.php?q=15847&tip=sid&clean=0;"<a href="https://www.scimagojr.com/journalsearch.php?q=15847&amp;tip=sid&amp;exact=no" title="SCImago Journal &amp; Country Rank"><img border="0" src="https://www.scimagojr.com/journal_img.php?id=15847" alt="SCImago Journal &amp; Country Rank"  /></a>"
Journal of Finance;journal;19.139;Q1;352;83;227;5043;1938;221;7.00;60.76;United Kingdom;Business, Management and Accounting;Wiley-Blackwell Publishing Ltd;00221082, 15406261;1946-2023;The Journal of Finance publishes leading research across all the major fields of financial research. It is one of the most widely cited academic journal on finance and one of the most widely cited journals in all of economics as well. Each issue of the journal reaches over 8,000 academics, finance professionals, libraries, government and financial institutions around the world. Published six times a year, the journal is the official publication of The American Finance Association, the premier academic organization devoted to the study and promotion of knowledge about financial economics.;https://www.scimagojr.com/journalsearch.php?q=17500&tip=sid&clean=0;"<a href="https://www.scimagojr.com/journalsearch.php?q=17500&amp;tip=sid&amp;exact=no" title="SCImago Journal &amp; Country Rank"><img border="0" src="https://www.scimagojr.com/journal_img.php?id=17500" alt="SCImago Journal &amp; Country Rank"  /></a>"
Nature Medicine;journal;19.045;Q1;630;595;1363;16478;36243;729;27.23;27.69;United Kingdom;Biochemistry, Genetics and Molecular Biology;Nature Research;10788956, 1546170X;1995-2023;Nature Medicine publishes research that addresses the needs and goals of contemporary medicine. Original research ranges from new concepts in human biology and disease pathogenesis to robust preclinical bases for new therapeutic modalities and drug development to all phases of clinical work, as well as innovative technologies aimed at improving human health. Current areas of interest also include, but are not limited to: -Gene and cell therapies -Clinical genomics -Regenerative medicine -High-definition medicine -Effects of the environment in human health -Artificial intelligence in health care -Smart wearable devices -Early disease diagnosis -Microbiome -Aging Nature Medicine also publishes Reviews, Perspectives and other content commissioned from leading scientists in their fields to provide expert and contextualized views of the latest research driving the progress of medicine. The News section is editorially independent and provides topical and timely reporting of upcoming trends affecting medicine, researchers and the general audience.;https://www.scimagojr.com/journalsearch.php?q=15819&tip=sid&clean=0;"<a href="https://www.scimagojr.com/journalsearch.php?q=15819&amp;tip=sid&amp;exact=no" title="SCImago Journal &amp; Country Rank"><img border="0" src="https://www.scimagojr.com/journal_img.php?id=15819" alt="SCImago Journal &amp; Country Rank"  /></a>"
Current Protocols in Bioinformatics;journal;18.663;Q1;71;0;19;0;963;19;0.00;0.00;United States;Biochemistry, Genetics and Molecular Biology;John Wiley & Sons Inc.;19343396, 1934340X;2002-2020;Sound and reproducible laboratory methods are the foundation of scientific discovery. Yet, all too often, nuances that are critical for an experiment’s success are not captured in the primary literature but exist only as part of a lab’s oral tradition. The aim of each Current Protocols title is to provide the clearest, most detailed and reliable step-by-step instructions for all protocols relevant to a given subject area. Written by experts in the field and extensively edited to our exacting standards, the protocols include all of the information necessary to complete an experiment in the laboratory—introduction, resources lists, detailed step-by-step procedures with helpful annotations, illustrative figures and information-packed tables. Each article also provides invaluable discussions of background information, applications of the methods, important assumptions, key parameters, time considerations, and tips to help avoid common pitfalls and troubleshoot experiments. Furthermore, Current Protocols content is thoughtfully organized by topic for optimal usage and to maximize contextual knowledge. Quarterly issues allow Current Protocols in Bioinformatics to constantly evolve to keep pace with the newest discoveries and developments. Current Protocols in Bioinformatics is the comprehensive resource for all types of protocols in bioinformatics, enabling the life scientist to become "fluent" in bioinformatics and master the exciting new frontiers opened up by the advent of large-scale, genome-wide, high-throughput technologies.;https://www.scimagojr.com/journalsearch.php?q=11600154092&tip=sid&clean=0;"<a href="https://www.scimagojr.com/journalsearch.php?q=11600154092&amp;tip=sid&amp;exact=no" title="SCImago Journal &amp; Country Rank"><img border="0" src="https://www.scimagojr.com/journal_img.php?id=11600154092" alt="SCImago Journal &amp; Country Rank"  /></a>"
MMWR supplements;journal;18.587;Q1;23;11;16;0;802;16;47.57;0.00;United States;Medicine;Epidemiology Program Office;23808942, 23808950;2016, 2020, 2022-2023;The Morbidity and Mortality Weekly Report (MMWR ) series is prepared by the Centers for Disease Control and Prevention (CDC). Often called “the voice of CDC,” the MMWR series is the agency’s primary vehicle for scientific publication of timely, reliable, authoritative, accurate, objective, and useful public health information and recommendations. MMWR readership predominantly consists of physicians, nurses, public health practitioners, epidemiologists and other scientists, researchers, educators, and laboratorians.;https://www.scimagojr.com/journalsearch.php?q=21100466539&tip=sid&clean=0;"<a href="https://www.scimagojr.com/journalsearch.php?q=21100466539&amp;tip=sid&amp;exact=no" title="SCImago Journal &amp; Country Rank"><img border="0" src="https://www.scimagojr.com/journal_img.php?id=21100466539" alt="SCImago Journal &amp; Country Rank"  /></a>"
Journal of Political Economy;journal;18.530;Q1;215;83;261;4493;2531;258;7.04;54.13;United States;Economics, Econometrics and Finance;University of Chicago;00223808, 1537534X;1969, 1973-1974, 1979-1985, 1987-2023;One of the oldest and most prestigious journals in economics, the Journal of Political Economy (JPE) has since 1892 presented significant research and scholarship in economic theory and practice. The journal aims to publish highly selective, widely cited articles of current relevance that will have a long-term impact on economics research. JPE's analytical, interpretive, and empirical studies in a number of areas—including monetary theory, fiscal policy, labor economics, development, micro- and macroeconomic theory, international trade and finance, industrial organization, and social economics—are essential reading for all economists wishing to keep up with substantive new research in the discipline.;https://www.scimagojr.com/journalsearch.php?q=24404&tip=sid&clean=0;"<a href="https://www.scimagojr.com/journalsearch.php?q=24404&amp;tip=sid&amp;exact=no" title="SCImago Journal &amp; Country Rank"><img border="0" src="https://www.scimagojr.com/journal_img.php?id=24404" alt="SCImago Journal &amp; Country Rank"  /></a>"
Nature;journal;18.509;Q1;1391;3770;8037;74917;160102;3840;19.40;19.87;United Kingdom;Multidisciplinary;Nature Research;00280836, 14764687;1869-2023;Nature is a weekly international journal publishing the finest peer-reviewed research in all fields of science and technology on the basis of its originality, importance, interdisciplinary interest, timeliness, accessibility, elegance and surprising conclusions. Nature also provides rapid, authoritative, insightful and arresting news and interpretation of topical and coming trends affecting science, scientists and the wider public.;https://www.scimagojr.com/journalsearch.php?q=21206&tip=sid&clean=0;"<a href="https://www.scimagojr.com/journalsearch.php?q=21206&amp;tip=sid&amp;exact=no" title="SCImago Journal &amp; Country Rank"><img border="0" src="https://www.scimagojr.com/journal_img.php?id=21206" alt="SCImago Journal &amp; Country Rank"  /></a>"
Nature Biotechnology;journal;18.117;Q1;511;485;1066;13393;17008;461;13.24;27.61;United Kingdom;Biochemistry, Genetics and Molecular Biology;Nature Publishing Group;10870156, 15461696;1989-2023;Nature Biotechnology is a monthly journal covering the science and business of biotechnology. It publishes new concepts in technology/methodology of relevance to the biological, biomedical, agricultural and environmental sciences as well as covers the commercial, political, ethical, legal, and societal aspects of this research. The first function is fulfilled by the peer-reviewed research section, the second by the expository efforts in the front of the journal. We provide researchers with news about business. we provide the business community with news about research developments. The core areas in which we are actively seeking research papers include: molecular engineering of nucleic acids and proteins. molecular therapy (therapeutics genes, antisense, siRNAs, aptamers, DNAzymes, ribozymes, peptides, proteins). large-scale biology (genomics, functional genomics, proteomics, structural genomics, metabolomics, etc.). computational biology (algorithms and modeling), regenerative medicine (stem cells, tissue engineering, biomaterials). imaging technology. analytical biotechnology (sensors/detectors for analytes/macromolecules), applied immunology (antibody engineering, xenotransplantation, T-cell therapies). food and agricultural biotechnology. and environmental biotechnology. A comprehensive list of areas of interest is shown below.;https://www.scimagojr.com/journalsearch.php?q=16115&tip=sid&clean=0;"<a href="https://www.scimagojr.com/journalsearch.php?q=16115&amp;tip=sid&amp;exact=no" title="SCImago Journal &amp; Country Rank"><img border="0" src="https://www.scimagojr.com/journal_img.php?id=16115" alt="SCImago Journal &amp; Country Rank"  /></a>"
Chemical Reviews;journal;17.828;Q1;833;271;851;115878;50519;819;49.76;427.59;United States;Chemistry;American Chemical Society;00092665, 15206890;1924-2023;Chemical Reviews is one of the most highly regarded and highest-ranked journals covering the general topic of chemistry. The mission of Chemical Reviews is to provide comprehensive, authoritative, critical, and readable reviews of important recent research in organic, inorganic, physical, analytical, theoretical, and biological chemistry. In addition to the general reviews, the journal has published since 1985 periodic thematic issues focusing on a single theme or direction of emerging research.;https://www.scimagojr.com/journalsearch.php?q=23340&tip=sid&clean=0;"<a href="https://www.scimagojr.com/journalsearch.php?q=23340&amp;tip=sid&amp;exact=no" title="SCImago Journal &amp; Country Rank"><img border="0" src="https://www.scimagojr.com/journal_img.php?id=23340" alt="SCImago Journal &amp; Country Rank"  /></a>"
Econometrica;journal;17.701;Q1;223;75;273;3371;1946;268;6.24;44.95;United Kingdom;Economics, Econometrics and Finance;Wiley-Blackwell Publishing Ltd;00129682, 14680262;1974, 1977-1984, 1990-1991, 1994-2023;Econometrica publishes original articles in all branches of economics - theoretical and empirical, abstract and applied, providing wide-ranging coverage across the subject area. It promotes studies that aim at the unification of the theoretical-quantitative and the empirical-quantitative approach to economic problems and that are penetrated by constructive and rigorous thinking. It explores a unique range of topics each year - from the frontier of theoretical developments in many new and important areas, to research on current and applied economic problems, to methodologically innovative, theoretical and applied studies in econometrics. Econometrica maintains a long tradition that submitted articles are refereed carefully and that detailed and thoughtful referee reports are provided to the author as an aid to scientific research, thus ensuring the high calibre of papers found in Econometrica. An international board of editors, together with the referees it has selected, has succeeded in substantially reducing editorial turnaround time, thereby encouraging submissions of the highest quality. We strongly encourage recent Ph. D. graduates to submit their work to Econometrica. Our policy is to take into account the fact that recent graduates are less experienced in the process of writing and submitting papers.;https://www.scimagojr.com/journalsearch.php?q=19482&tip=sid&clean=0;"<a href="https://www.scimagojr.com/journalsearch.php?q=19482&amp;tip=sid&amp;exact=no" title="SCImago Journal &amp; Country Rank"><img border="0" src="https://www.scimagojr.com/journal_img.php?id=19482" alt="SCImago Journal &amp; Country Rank"  /></a>"
Review of Financial Studies;journal;17.654;Q1;234;108;410;6448;4495;409;8.04;59.70;United Kingdom;Business, Management and Accounting;Oxford University Press;08939454, 14657368;1996-2023;The Review of Financial Studies is a major forum for the promotion and wide dissemination of significant new research in financial economics. As reflected by its broadly based editorial board, the Review balances theoretical and empirical contributions. The primary criteria for publishing a paper are its quality and importance to the field of finance, without undue regard to its technical difficulty. Finance is interpreted broadly to include the interface between finance and economics. The Review is sponsored by The Society for Financial Studies. The editors of the Review and officers of the Society are elected for limited terms.;https://www.scimagojr.com/journalsearch.php?q=16161&tip=sid&clean=0;"<a href="https://www.scimagojr.com/journalsearch.php?q=16161&amp;tip=sid&amp;exact=no" title="SCImago Journal &amp; Country Rank"><img border="0" src="https://www.scimagojr.com/journal_img.php?id=16161" alt="SCImago Journal &amp; Country Rank"  /></a>"
Cancer Cell;journal;17.507;Q1;398;178;590;11546;12604;360;19.83;64.87;United States;Biochemistry, Genetics and Molecular Biology;Cell Press;15356108, 18783686;2002-2023;Cancer Cell provides a high-profile forum to promote major advances in cancer research and oncology. The primary criterion for considering manuscripts is whether the studies provide major advances into answering important questions relevant to naturally occurring cancers. Cancer Cell particularly welcomes translational research. Cancer Cell is also interested in publishing clinical investigations, in particular those that lead to establishing new paradigms in the treatment, diagnosis, or prevention of cancers. those that provide important insights into cancer biology beyond what has been revealed by preclinical studies. and those that are mechanism-based proof-of-principle clinical studies.;https://www.scimagojr.com/journalsearch.php?q=29093&tip=sid&clean=0;"<a href="https://www.scimagojr.com/journalsearch.php?q=29093&amp;tip=sid&amp;exact=no" title="SCImago Journal &amp; Country Rank"><img border="0" src="https://www.scimagojr.com/journal_img.php?id=29093" alt="SCImago Journal &amp; Country Rank"  /></a>"
Nature Energy;journal;17.497;Q1;229;229;609;6629;16808;379;26.18;28.95;United States;Energy;Springer Nature;20587546;2016-2023;The provision of energy is a key issue at the heart of modern society: where do we get it from, how do we use it, and is there enough of it for what we want? Our growing thirst for energy must either be matched by supply or else adapted to meet it. Tackling these challenges is an essential part of many fields of research — both in the natural and social and behavioural sciences and economics — and is the focus of multi-billion-dollar global industries. Publishing monthly, Nature Energy is dedicated to exploring all aspects of this on-going discussion, from the generation and storage of energy, to its distribution and management, the needs and demands of the different actors, and the impacts that energy technologies and policies have on societies. We have a particular interest in studies that advance our knowledge and inform the development of next-generation technologies and solutions. Nature Energy provides a forum for all parties active at the frontiers of energy to come together and learn about the different facets of this sector. Like all Nature-branded journals, Nature Energy is characterized by a dedicated team of professional editors, a fair and rigorous peer-review process, high standards of copy-editing and production, swift publication and editorial independence. In addition to publishing original research, Nature Energy will publish Comments, Perspectives, Reviews, News & Views, Features and Correspondence from across the full range of disciplines concerned with energy. Topics covered in the journal include: Solar energy Wind energy Wave energy Geothermal energy Hydroelectricity Energy harvesting devices Nuclear power Fuel cells Hydrogen energy Transportation fuels Biofuels Batteries Supercapacitors Electrocatalysis and photocatalysis Carbon capture and storage Energy economics and finance Energy policy Energy and behaviour Energy security Energy access Energy justice Energy grids and networks Nature Energy;https://www.scimagojr.com/journalsearch.php?q=21100812579&tip=sid&clean=0;"<a href="https://www.scimagojr.com/journalsearch.php?q=21100812579&amp;tip=sid&amp;exact=no" title="SCImago Journal &amp; Country Rank"><img border="0" src="https://www.scimagojr.com/journal_img.php?id=21100812579" alt="SCImago Journal &amp; Country Rank"  /></a>"
Nature Genetics;journal;17.300;Q1;639;336;654;13672;13100;504;19.88;40.69;United Kingdom;Biochemistry, Genetics and Molecular Biology;Nature Publishing Group;10614036, 15461718;1992-2023;Nature Genetics publishes the very highest quality research in genetics. It encompasses genetic and functional genomic studies on human and plant traits and on other model organisms. Current emphasis is on the genetic basis for common and complex diseases and on the functional mechanism, architecture and evolution of gene networks, studied by experimental perturbation. Integrative genetic topics comprise, but are not limited to: -Genes in the pathology of human disease -Molecular analysis of simple and complex genetic traits -Cancer genetics -Agricultural genomics -Developmental genetics -Regulatory variation in gene expression -Strategies and technologies for extracting function from genomic data -Pharmacological genomics -Genome evolution -Nature Genetics;https://www.scimagojr.com/journalsearch.php?q=18990&tip=sid&clean=0;"<a href="https://www.scimagojr.com/journalsearch.php?q=18990&amp;tip=sid&amp;exact=no" title="SCImago Journal &amp; Country Rank"><img border="0" src="https://www.scimagojr.com/journal_img.php?id=18990" alt="SCImago Journal &amp; Country Rank"  /></a>"
